word,valence,arousal,dominance
toxicity,2.47,4.6,3.28
slob,2.48,4.7,4.29
hernia,2.48,5.42,2.95
depressing,2.48,3.0,3.57
greed,2.48,4.45,4.0
scumbag,2.48,5.1,2.73
indigestion,2.48,3.3,3.59
carsick,2.48,4.04,3.21
aggravation,2.48,5.35,4.45
lethal,2.48,5.64,4.72
miscarriage,2.48,5.7,2.33
malnutrition,2.48,3.5,5.3
imprison,2.48,4.7,3.42
divorce,2.49,5.39,4.02
alcoholic,2.49,5.48,3.27
annoy,2.49,5.04,4.64
cyst,2.5,4.28,3.17
junkie,2.5,4.62,3.82
gangrene,2.5,5.38,3.12
germ,2.5,4.1,3.65
scornful,2.5,4.71,5.04
arsonist,2.5,6.95,3.42
inoperable,2.5,5.05,3.23
turd,2.5,4.59,3.79
aneurysm,2.5,5.38,2.7
abomination,2.5,5.9,3.8
terrorize,2.5,5.95,3.05
rage,2.5,6.62,4.17
fascism,2.5,5.1,3.05
hangover,2.5,6.0,4.31
irresponsible,2.5,5.0,3.91
anger,2.5,5.93,5.14
terrified,2.51,6.1,3.29
shamed,2.51,4.23,3.42
paralyze,2.52,4.47,3.05
psoriasis,2.52,4.24,3.35
dispute,2.52,4.55,4.14
betray,2.52,5.33,3.86
thug,2.52,5.48,3.53
toothless,2.52,4.0,3.52
expulsion,2.52,4.65,3.58
jeering,2.52,5.57,4.32
creepy,2.52,5.54,4.33
displeasure,2.52,4.81,4.08
phony,2.52,4.4,4.09
arrogant,2.52,5.15,4.64
bankruptcy,2.52,5.39,3.31
negative,2.52,5.05,4.29
pus,2.52,5.0,3.55
poisonous,2.52,5.67,4.0
phlegm,2.52,4.06,4.0
ashamed,2.52,5.65,4.63
unpleasant,2.53,4.73,3.54
vengeance,2.53,5.23,4.04
illegal,2.53,5.55,4.72
sweatshop,2.53,5.95,3.39
alienation,2.53,5.14,3.33
starve,2.53,4.0,3.12
scam,2.53,4.64,3.74
stingy,2.53,4.73,4.54
snob,2.53,4.68,4.81
torment,2.53,6.17,3.96
destruction,2.53,5.62,3.78
sickening,2.53,5.05,3.8
angry,2.53,6.2,4.11
lost,2.53,5.11,3.85
itchy,2.53,4.9,3.0
delinquency,2.55,5.27,4.14
unhealthy,2.55,4.36,5.11
insane,2.55,5.14,3.74
salmonella,2.55,4.33,3.56
unkind,2.55,4.24,4.84
orphaned,2.55,4.6,2.91
penniless,2.55,5.76,5.6
blindness,2.55,4.78,2.38
bitch,2.55,5.95,3.65
desperation,2.55,6.3,4.0
monster,2.55,5.55,5.0
arrogance,2.55,4.65,5.0
bloodthirsty,2.55,4.9,4.68
accident,2.55,4.93,3.0
trafficking,2.55,4.72,4.18
hell,2.55,6.26,3.47
frustrated,2.55,5.4,3.85
stalker,2.55,5.82,4.04
meningitis,2.55,5.41,3.43
aggravate,2.55,5.9,4.85
overcrowded,2.55,5.39,3.15
slut,2.55,5.96,3.9
sting,2.55,4.88,3.45
slum,2.55,4.2,3.83
typhoid,2.55,4.62,3.57
meth,2.55,4.43,3.12
panic,2.56,6.4,2.65
murderess,2.56,5.8,3.52
smog,2.56,4.3,2.89
furious,2.57,6.09,3.89
measles,2.57,4.5,4.1
disloyalty,2.57,5.77,3.71
wretched,2.57,3.8,3.79
confrontation,2.57,5.16,4.17
hypothermia,2.57,5.78,3.12
inadequate,2.57,4.3,3.71
rudeness,2.57,6.2,3.62
jailhouse,2.57,4.5,2.89
bummer,2.57,4.32,3.89
frustrating,2.57,5.48,3.72
difficulty,2.57,4.21,4.64
gory,2.57,5.1,4.32
annihilation,2.58,5.52,3.2
horrendous,2.58,5.81,3.68
unpaid,2.58,5.62,3.35
abortion,2.58,5.43,4.73
jealousy,2.58,5.45,3.89
painful,2.58,5.52,3.83
frightening,2.58,4.73,3.39
canker,2.58,4.25,4.54
flu,2.58,4.0,2.8
deprivation,2.58,4.57,3.38
inconsiderate,2.58,5.05,4.41
faceless,2.58,4.1,3.91
litter,2.58,3.8,5.7
problematic,2.58,4.8,4.65
unpleasantness,2.59,4.36,3.42
loveless,2.59,4.46,3.96
gangster,2.59,6.36,4.16
blackmail,2.59,5.44,3.98
defeated,2.59,4.73,2.43
humiliate,2.6,5.05,3.96
threaten,2.6,6.05,3.29
miserable,2.6,5.06,3.86
colonoscopy,2.6,4.05,3.4
paranoia,2.6,5.57,4.56
lymphoma,2.6,4.59,2.38
theft,2.6,5.17,3.93
chauvinist,2.6,4.78,4.41
black snake,2.6,5.76,3.79
staph,2.6,4.0,3.5
rejection,2.6,5.05,3.91
dickhead,2.6,5.26,3.5
cavity,2.6,4.77,4.96
deceitful,2.6,5.18,4.11
forgery,2.6,4.86,3.4
poop,2.6,5.14,4.48
dreadful,2.6,4.5,3.38
dismal,2.6,3.29,4.96
jailer,2.61,4.95,3.79
violate,2.61,5.76,2.85
mildew,2.61,4.14,4.19
mumps,2.61,3.84,3.44
lawlessness,2.61,4.73,3.54
waste,2.61,4.04,4.58
bile,2.61,4.1,3.5
hypocrisy,2.62,3.96,4.35
shame,2.62,5.4,5.21
condemn,2.62,5.33,4.17
degrade,2.62,4.95,4.4
autopsy,2.62,4.36,3.22
pox,2.62,4.4,3.36
argument,2.62,5.22,5.65
dictatorship,2.62,6.38,2.76
demeaning,2.62,3.74,4.17
insult,2.62,5.3,3.96
sadistic,2.62,5.25,3.43
coronary,2.62,4.67,4.4
saggy,2.62,3.04,4.94
psychopath,2.62,5.41,3.52
stressful,2.62,5.65,3.97
suffocate,2.62,6.09,3.48
fake,2.62,5.15,4.47
filth,2.62,4.09,4.07
stench,2.62,4.53,3.47
threat,2.63,6.57,3.6
abandonment,2.63,4.95,2.64
displease,2.63,5.71,4.45
vicious,2.63,6.05,5.5
infectious,2.63,5.14,3.19
slag,2.63,3.9,3.92
slay,2.63,4.9,5.39
infuriating,2.63,5.9,4.48
wicked,2.63,5.86,3.61
vagrant,2.63,3.82,3.92
sinister,2.63,5.1,4.15
irritating,2.63,4.91,3.77
terrifying,2.63,5.91,2.68
evict,2.63,4.73,3.96
coffin,2.63,4.3,3.72
deteriorating,2.63,5.52,4.18
misfire,2.63,4.64,3.0
unrest,2.63,4.91,3.54
subpoena,2.64,5.0,2.67
depressive,2.64,3.48,3.64
burial,2.65,4.3,5.16
sob,2.65,4.89,3.29
unappreciated,2.65,5.0,3.58
inhospitable,2.65,4.36,3.35
pneumonia,2.65,4.62,2.91
rot,2.65,4.72,3.54
psychosis,2.65,6.0,3.52
disappointed,2.65,4.47,4.08
danger,2.66,5.84,3.64
fearful,2.66,5.45,3.12
demolish,2.67,4.5,4.45
reprimand,2.67,4.86,3.32
untrustworthy,2.67,4.8,4.22
insomnia,2.67,4.91,2.92
handicap,2.67,3.45,3.54
enslave,2.67,5.35,4.08
overdose,2.67,4.92,3.16
bully,2.67,5.86,3.18
endanger,2.67,4.72,3.95
prisoner,2.67,5.0,2.41
stockade,2.67,4.67,4.36
unemployed,2.67,5.26,3.38
inmate,2.67,4.73,3.0
polio,2.67,5.0,3.44
hellish,2.67,4.48,4.72
crypt,2.67,4.13,4.0
burglar,2.67,5.32,3.88
cellulite,2.67,4.67,4.32
brat,2.67,4.67,4.61
destroy,2.67,5.16,4.3
pest,2.67,5.14,4.36
lonely,2.67,4.37,3.33
wart,2.67,2.79,4.5
oppression,2.67,4.57,2.94
crack,2.68,5.25,5.42
loathe,2.68,5.18,4.77
lowlife,2.68,4.29,3.4
migraine,2.68,4.96,3.11
illicit,2.68,4.77,3.5
malfunction,2.68,4.62,2.92
horrid,2.68,6.0,3.67
cholera,2.68,4.0,4.35
fatso,2.68,5.33,4.0
agonizing,2.68,6.71,4.04
germs,2.68,5.28,3.0
impound,2.68,4.23,3.08
horrifying,2.68,6.29,3.96
defenseless,2.68,4.9,3.95
disturbance,2.68,5.19,3.3
disgusted,2.68,4.89,4.24
accuse,2.68,5.32,4.0
smother,2.68,4.75,4.2
disadvantage,2.68,3.9,3.62
slaughterhouse,2.68,6.76,3.17
disturbing,2.68,5.65,4.4
recession,2.68,4.7,3.0
smelly,2.68,5.43,4.0
ungrateful,2.68,4.71,4.74
derogatory,2.7,3.95,3.68
treachery,2.7,5.33,4.8
unlucky,2.7,4.62,4.15
negligence,2.7,4.22,3.79
cyanide,2.7,5.72,4.92
catastrophe,2.7,5.64,2.5
prejudiced,2.7,4.89,3.79
belittle,2.7,4.05,2.92
wildfire,2.7,5.9,3.26
degenerate,2.7,4.68,2.95
disabled,2.7,3.71,4.52
napalm,2.7,5.29,4.08
homophobic,2.7,5.14,4.04
whore,2.7,6.29,4.89
epilepsy,2.7,5.0,2.9
insanity,2.7,7.79,4.12
ex,2.7,4.79,4.0
uncomfortable,2.7,5.5,3.68
ulcer,2.7,4.76,3.35
prejudice,2.71,5.35,3.81
gang,2.71,6.55,5.37
fussy,2.71,3.61,3.83
wasp,2.71,5.33,3.8
crippling,2.71,4.88,2.74
pathological,2.71,3.5,4.0
anorexic,2.71,4.24,3.43
straitjacket,2.71,5.1,3.97
violence,2.71,5.95,3.24
stupidity,2.71,4.5,4.32
disrespectful,2.71,4.65,3.7
boring,2.71,2.85,6.05
mold,2.71,3.77,4.5
soulless,2.71,4.76,3.72
unwanted,2.71,5.1,3.57
unprofessional,2.71,4.71,3.64
emergency,2.72,6.43,2.72
embarrassment,2.72,5.45,2.92
suppress,2.72,3.55,4.55
cruel,2.73,5.07,4.78
deceased,2.73,4.86,2.64
nauseating,2.73,4.33,3.68
unlawful,2.73,4.46,4.87
fury,2.73,6.12,4.62
inconvenient,2.73,4.83,3.79
piss,2.73,4.74,5.63
morbid,2.73,5.29,4.49
mutilated,2.73,6.0,3.32
queasy,2.74,4.82,4.23
deficiency,2.74,4.2,4.15
diabetes,2.74,4.04,3.11
bedpan,2.74,5.05,4.0
unreliable,2.74,4.29,4.22
malpractice,2.74,5.26,4.3
fugitive,2.74,5.26,4.0
negativity,2.74,5.09,3.42
insolent,2.74,5.43,4.12
troublesome,2.74,4.85,5.05
unromantic,2.74,3.55,4.16
extinct,2.74,4.55,3.42
heroin,2.74,4.62,3.67
tuberculosis,2.74,4.48,4.64
trash,2.74,3.66,4.24
fat,2.74,3.89,4.0
hostage,2.74,5.73,2.74
instability,2.75,4.89,3.27
tense,2.75,5.32,4.72
stealing,2.75,4.57,5.5
battering,2.75,4.67,4.36
ugliness,2.75,4.43,3.44
wetback,2.75,3.67,3.95
revenge,2.75,6.14,5.72
discontent,2.75,4.67,3.68
broken,2.75,4.86,3.76
trashy,2.75,5.75,4.73
bigot,2.75,5.37,3.12
terror,2.75,6.35,2.95
conceited,2.75,6.58,4.92
unattainable,2.75,4.48,4.12
anarchist,2.76,4.16,4.57
pileup,2.76,5.25,4.14
misdemeanor,2.76,5.24,3.95
wimpy,2.76,3.95,3.29
drab,2.76,2.35,4.77
chickenpox,2.76,4.8,3.11
flood,2.76,5.31,3.16
punishment,2.76,5.07,4.11
interrogate,2.76,4.8,4.64
inflammation,2.76,4.46,2.64
obnoxious,2.76,5.95,4.1
despicable,2.76,4.86,3.24
robbery,2.76,6.32,2.67
scurvy,2.76,5.18,4.12
sunburn,2.76,4.45,4.12
faker,2.76,3.96,4.33
cult,2.77,5.48,3.61
adulterer,2.77,5.68,3.2
incompetent,2.77,4.5,2.81
scold,2.77,4.19,4.59
boredom,2.77,2.58,5.04
dictator,2.77,5.5,4.19
heinous,2.77,5.38,4.12
strep,2.77,4.21,3.48
hearse,2.78,3.64,3.21
anguished,2.78,4.79,2.88
abscess,2.79,4.0,3.95
drought,2.79,3.55,2.95
menstrual,2.79,4.3,3.37
nameless,2.79,2.8,4.58
wartime,2.79,5.43,3.96
gunshot,2.79,5.55,3.7
stricken,2.79,4.59,3.25
disappointment,2.79,4.9,4.08
nothingness,2.79,3.25,3.2
prostitution,2.79,6.05,4.68
unworthy,2.79,4.24,3.45
unfeeling,2.79,3.61,4.42
disappointing,2.79,4.1,4.26
alienate,2.79,4.27,3.71
gunfire,2.79,6.91,3.75
immoral,2.79,5.42,4.15
illegitimate,2.79,4.0,4.15
fungus,2.79,4.67,3.61
strangulation,2.79,5.5,3.21
heartless,2.8,4.82,5.22
grieve,2.8,4.56,3.38
doomsday,2.8,6.22,3.0
hardship,2.8,5.1,3.61
blind,2.8,3.73,3.04
penalty,2.8,3.89,3.7
psychopathic,2.8,6.0,2.86
putrid,2.8,4.32,3.35
bloated,2.8,3.0,3.24
hectic,2.8,4.45,3.91
sore,2.8,4.06,3.92
overwhelmed,2.8,4.9,2.7
hazardous,2.8,5.25,4.36
scared,2.8,6.1,4.2
annoyed,2.8,5.29,4.08
urinal,2.8,3.62,4.12
aggressor,2.8,6.55,4.57
useless,2.8,4.39,4.65
nutcase,2.81,3.76,3.36
distraught,2.81,5.64,3.55
limp,2.81,3.0,4.45
bicker,2.81,5.13,4.54
unsatisfied,2.81,4.61,3.9
oppressor,2.81,5.48,3.0
drug dealing,2.81,4.7,3.71
adultery,2.81,6.42,3.33
obesity,2.81,4.63,4.55
disrespect,2.81,5.35,3.95
deadbeat,2.81,4.32,3.89
decaying,2.81,4.68,3.14
grumpy,2.81,5.05,5.06
repression,2.81,4.15,4.14
malice,2.81,4.81,4.56
prick,2.81,4.26,4.58
shot,2.82,6.48,3.39
glum,2.82,3.58,4.62
crucifixion,2.82,5.62,3.83
forbid,2.82,4.85,4.48
audit,2.82,5.78,3.68
whine,2.82,3.62,4.73
duress,2.82,4.45,3.17
repugnant,2.83,3.64,4.04
spoil,2.83,4.09,4.11
agitation,2.84,4.75,3.29
unsafe,2.84,5.17,4.0
stupid,2.84,4.34,4.03
sullen,2.84,4.52,4.57
bomber,2.84,6.24,3.94
discomfort,2.84,4.43,3.55
terrify,2.84,6.39,2.79
incriminate,2.84,5.95,3.75
mucus,2.84,4.17,4.16
ignorance,2.84,3.76,3.88
ghoul,2.84,4.95,4.3
prohibition,2.84,4.04,4.14
bogus,2.84,5.32,3.59
quarrel,2.84,5.39,4.76
quarantine,2.84,5.39,2.95
lawsuit,2.84,5.39,3.2
fallout,2.84,4.55,3.45
abandon,2.84,3.73,3.32
manipulation,2.84,4.86,5.39
catheter,2.84,3.77,2.54
tattler,2.84,4.45,4.75
disagree,2.84,4.9,5.45
chaos,2.84,6.31,3.31
hypertension,2.84,4.59,2.58
intimidate,2.84,5.27,5.75
infect,2.84,4.0,3.7
courtroom,2.84,4.67,3.45
prowler,2.84,5.48,3.4
loser,2.85,3.94,4.53
travesty,2.85,4.95,3.18
wasteful,2.85,3.55,4.0
bald,2.85,3.71,4.5
treacherous,2.85,6.0,3.33
turnoff,2.85,4.26,5.14
paraplegic,2.85,3.82,2.6
contagion,2.85,5.94,3.62
cowardly,2.85,5.14,3.85
monsoon,2.85,4.5,3.09
degradation,2.85,4.26,3.39
missile,2.85,5.67,4.2
dementia,2.85,5.05,1.68
bloodshot,2.85,4.72,4.04
irritable,2.85,6.37,4.23
hellfire,2.85,5.1,4.0
angina,2.85,4.72,4.0
fatality,2.85,6.05,3.69
snotty,2.85,4.52,3.91
carcass,2.85,4.85,4.42
crook,2.86,4.62,3.82
punish,2.86,5.85,3.81
uncooperative,2.86,4.8,3.6
disagreement,2.86,3.91,5.11
bulimic,2.86,4.3,4.06
misunderstanding,2.86,4.52,3.83
influenza,2.86,4.91,2.76
fee,2.86,4.08,4.12
starving,2.86,5.1,4.86
addict,2.86,5.33,2.74
uneasy,2.86,4.48,3.82
