word,valence,arousal,dominance
reckless,3.09,5.18,4.4
incorrect,3.09,3.62,4.62
feverish,3.09,5.35,3.79
guilty,3.09,4.65,4.5
thorny,3.1,4.92,3.68
impolite,3.1,5.25,3.95
regretful,3.1,4.56,4.09
lawless,3.1,4.17,3.94
pushy,3.1,4.6,4.23
laxative,3.1,4.14,3.0
inhumane,3.1,5.43,3.36
blemish,3.1,4.81,5.12
nappy,3.1,3.32,4.24
invasive,3.1,6.28,3.23
unbalanced,3.1,4.74,3.21
malignant,3.1,4.42,4.2
fascist,3.1,4.74,3.88
nosy,3.1,4.65,5.04
sleepless,3.11,4.64,3.08
unprepared,3.11,5.09,3.75
pathetic,3.11,3.56,3.18
bitchy,3.11,4.83,4.24
destructive,3.11,6.38,4.85
ineffective,3.11,3.75,3.55
belligerent,3.11,5.0,3.56
troubled,3.11,4.45,3.83
mosquito,3.12,5.17,3.88
disdainful,3.13,4.7,4.48
dizzy,3.14,4.67,3.55
senile,3.14,3.68,3.0
anguish,3.14,5.41,4.27
grievous,3.14,3.92,5.25
shanty,3.14,4.56,4.5
intolerable,3.14,5.41,4.15
overweight,3.14,3.91,3.57
atrocious,3.14,4.12,4.35
barbarian,3.14,6.26,3.67
hideous,3.14,4.95,3.92
fib,3.15,5.6,4.68
achy,3.15,4.48,4.62
gloomy,3.15,3.32,3.15
tantrum,3.15,5.05,3.4
bigamy,3.15,4.36,4.21
unfair,3.15,3.75,4.0
prejudicial,3.16,5.1,4.3
sickly,3.16,4.41,3.85
unjust,3.16,6.33,3.05
uptight,3.16,4.09,4.54
stinky,3.16,3.76,4.29
shaky,3.16,4.33,3.8
hypocritical,3.17,4.5,4.81
crooked,3.17,4.18,3.18
immature,3.17,4.21,4.19
purgatory,3.17,4.41,3.47
distasteful,3.17,5.05,3.92
subdue,3.17,3.3,6.0
tremble,3.18,5.32,3.79
inhuman,3.18,5.24,3.64
blasphemous,3.18,4.62,3.27
desperate,3.19,5.0,3.21
cystic,3.19,3.55,4.26
irritate,3.19,5.85,4.39
old,3.19,4.48,4.22
sacrificial,3.2,5.94,4.46
disruptive,3.2,6.1,4.92
sourpuss,3.2,3.83,3.94
grubby,3.2,3.45,3.91
lame,3.2,2.74,3.45
catatonic,3.2,3.18,4.0
unscrupulous,3.2,4.67,4.04
incompatible,3.2,3.61,3.46
crowded,3.2,3.95,3.45
argumentative,3.2,5.61,4.0
gross,3.2,5.0,4.62
severe,3.21,5.43,4.05
antisocial,3.21,5.32,5.33
incessant,3.21,4.71,3.55
ferocious,3.21,6.67,3.96
erratic,3.21,5.1,4.4
noisy,3.21,5.15,4.42
indebted,3.21,4.25,3.2
communist,3.22,5.1,4.12
diabolical,3.23,5.32,3.3
snub,3.23,3.86,3.75
vindictive,3.24,4.64,4.32
insufficient,3.24,3.57,3.38
evasive,3.24,3.39,5.06
bad,3.24,4.86,3.56
wrong,3.24,5.29,3.39
ignorant,3.24,4.18,4.07
idiotic,3.24,4.56,5.2
dissatisfied,3.25,4.82,4.74
wannabe,3.25,5.05,4.47
weary,3.25,2.9,4.55
sinner,3.25,5.38,5.67
tasteless,3.25,3.86,5.4
moronic,3.25,3.81,3.2
interrupt,3.26,4.36,3.93
pompous,3.26,4.76,3.9
pester,3.26,5.18,4.04
bipolar,3.26,5.0,3.18
possessive,3.26,4.86,5.26
captive,3.27,4.88,3.3
electrocute,3.27,6.0,4.42
abrupt,3.28,5.23,3.75
holdup,3.29,4.96,2.56
unacceptable,3.29,4.43,4.22
delusional,3.29,5.8,3.81
disagreeable,3.29,4.26,4.48
psychotic,3.3,6.14,3.05
revolver,3.3,6.29,4.39
maniacal,3.3,6.0,4.1
selfish,3.3,4.57,5.32
cynical,3.3,4.78,4.95
unbecoming,3.32,4.73,4.36
inconsistent,3.32,3.2,4.3
psychiatric,3.32,4.52,4.76
promiscuous,3.32,5.81,4.9
late,3.32,5.57,4.22
fearsome,3.32,5.45,3.58
rife,3.32,3.4,5.4
indignant,3.32,4.5,5.61
epileptic,3.32,4.62,4.0
scandalous,3.32,5.85,4.52
unfortunate,3.33,3.52,4.21
asthmatic,3.33,3.38,3.84
viral,3.33,5.52,3.62
symptom,3.33,4.17,5.0
shrill,3.33,5.95,3.52
lecherous,3.33,3.79,3.65
jittery,3.35,4.89,3.5
obsessive,3.35,6.14,4.0
unsympathetic,3.35,4.3,4.94
irrelevant,3.35,3.71,4.68
deviant,3.35,5.62,4.38
lonesome,3.35,3.45,4.28
uninvited,3.35,4.38,3.76
inaccurate,3.35,3.95,3.71
expensive,3.36,6.1,6.21
yucky,3.36,4.35,4.36
intestine,3.37,4.5,4.21
dim,3.37,3.55,4.83
timid,3.37,3.15,4.69
petrified,3.37,5.17,3.58
sinful,3.37,5.76,4.09
scarce,3.37,3.9,4.04
spic,3.37,4.57,4.59
unruly,3.39,4.41,4.41
overdue,3.39,4.62,4.37
flabby,3.39,3.39,4.81
clingy,3.39,4.04,4.29
dismissive,3.4,2.67,4.46
eerie,3.4,5.57,3.91
dull,3.4,1.67,4.71
murky,3.4,3.45,3.77
